0,03:-8:-8.-648,in,Note on 60 Velocity 81,1,81,90 3C 51 
1,03:-8:-8.-648,in,Note off 60 Velocity 46,1,46,80 3C 2E 
2,03:-8:-8.-648,in,Note on 60 Velocity 82,1,82,90 3C 52 
3,03:-8:-8.-648,in,System-exclusive (SysEx) Length: 6 bytes,0,,F0 7E 7F 06 01 F7 
4,03:-8:-8.-648,in,Note on 67 Velocity 80,1,80,90 43 50 
5,03:-8:-8.-648,in,Note off 60 Velocity 38,1,38,80 3C 26 
6,03:-8:-8.-648,in,Note off 67 Velocity 65,1,65,80 43 41 
7,03:-8:-8.-648,in,Note on 67 Velocity 92,1,92,90 43 5C 
8,03:-8:-8.-648,in,Note on 69 Velocity 68,1,68,90 45 44 
9,03:-8:-8.-648,in,Note off 67 Velocity 35,1,35,80 43 23 
10,03:-8:-8.-648,in,Note off 69 Velocity 55,1,55,80 45 37 
11,03:-8:-8.-648,in,Note on 69 Velocity 76,1,76,90 45 4C 
12,04:-8:-8.-648,in,Note off 69 Velocity 36,1,36,80 45 24 
13,04:-8:-8.-648,in,Note on 67 Velocity 84,1,84,90 43 54 
14,04:-8:-8.-648,in,Note off 67 Velocity 32,1,32,80 43 20 
15,04:-8:-8.-648,in,Note on 65 Velocity 68,1,68,90 41 44 
16,04:-8:-8.-648,in,Note off 65 Velocity 65,1,65,80 41 41 
17,04:-8:-8.-648,in,Note on 65 Velocity 85,1,85,90 41 55 
18,04:-8:-8.-648,in,Note on 64 Velocity 78,1,78,90 40 4E 
19,04:-8:-8.-648,in,Note off 65 Velocity 45,1,45,80 41 2D 
20,04:-8:-8.-648,in,System-exclusive (SysEx) Length: 6 bytes,0,,F0 7E 7F 06 01 F7 
21,04:-8:-8.-648,in,Note off 64 Velocity 42,1,42,80 40 2A 
22,04:-8:-8.-648,in,Note on 64 Velocity 83,1,83,90 40 53 
23,05:-8:-8.-648,in,Note on 62 Velocity 89,1,89,90 3E 59 
24,05:-8:-8.-648,in,Note off 64 Velocity 38,1,38,80 40 26 
25,05:-8:-8.-648,in,Note off 62 Velocity 36,1,36,80 3E 24 
26,05:-8:-8.-648,in,Note on 62 Velocity 83,1,83,90 3E 53 
27,05:-8:-8.-648,in,Note on 60 Velocity 69,1,69,90 3C 45 
28,05:-8:-8.-648,in,Note off 62 Velocity 38,1,38,80 3E 26 
29,05:-8:-8.-648,in,Note off 60 Velocity 17,1,17,80 3C 11 
30,05:-8:-8.-648,in,Note on 67 Velocity 73,1,73,90 43 49 
31,05:-8:-8.-648,in,Note off 67 Velocity 54,1,54,80 43 36 
32,05:-8:-8.-648,in,Note on 67 Velocity 78,1,78,90 43 4E 
33,06:-8:-8.-648,in,Note on 65 Velocity 85,1,85,90 41 55 
34,06:-8:-8.-648,in,Note off 67 Velocity 61,1,61,80 43 3D 
35,06:-8:-8.-648,in,Note off 65 Velocity 69,1,69,80 41 45 
36,06:-8:-8.-648,in,Note on 65 Velocity 89,1,89,90 41 59 
37,06:-8:-8.-648,in,Note on 64 Velocity 86,1,86,90 40 56 
38,06:-8:-8.-648,in,Note off 65 Velocity 55,1,55,80 41 37 
39,06:-8:-8.-648,in,Note off 64 Velocity 53,1,53,80 40 35 
40,06:-8:-8.-648,in,Note on 64 Velocity 87,1,87,90 40 57 
41,06:-8:-8.-648,in,Note on 62 Velocity 76,1,76,90 3E 4C 
42,06:-8:-8.-648,in,Note off 64 Velocity 37,1,37,80 40 25 
43,07:-8:-8.-648,in,Note off 62 Velocity 1,1,1,80 3E 01 
44,07:-8:-8.-648,in,Note on 67 Velocity 87,1,87,90 43 57 
45,07:-8:-8.-648,in,Note off 67 Velocity 53,1,53,80 43 35 
